Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-08-27,2026-09-01 18:33 CEST,BIS,https://data.bis.org/topics/RPP/data?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628,https://data.bis.org/api/export-timeseries?sort=_GLOBAL_REF_AREA_SORT-ASC&selected_ts=BIS%2CWS_SPP%2C1.0%255EQ.5R.R.628&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2020-12-31,F:Free,,A:Normal value,127.1496
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-03-31,F:Free,,A:Normal value,129.4654
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-06-30,F:Free,,A:Normal value,132.0774
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-09-30,F:Free,,A:Normal value,135.2082
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2021-12-31,F:Free,,A:Normal value,136.7697
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-03-31,F:Free,,A:Normal value,138.7482
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-06-30,F:Free,,A:Normal value,137.6614
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-09-30,F:Free,,A:Normal value,135.6798
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2022-12-31,F:Free,,A:Normal value,132.8289
BIS:WS_SPP(1.0):Q.5R.R.628,Q:Quarterly,5R:Advanced economies,R:Real,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2023-03-31,F:Free,,A:Normal value,131.9211
