par_cz,kid_race,par_pctile,shrunk_xkid_brcbalance2020,cz_name
36303,AIAN,-9,3355.5,Jackson
36303,AIAN,50,3355.5,Jackson
36303,Hispanic,-9,4249.5,Jackson
36303,White,25,4906.243902439024,Jackson
36303,White,-9,5441.910714285715,Jackson
36303,Pooled,-9,4994.7875,Jackson
36303,AIAN,75,4198,Jackson
36303,Hispanic,50,4249.5,Jackson
36303,Hispanic,75,5348.5,Jackson
36303,AIAN,25,2513,Jackson
36401,Asian,25,4773.5,Steamboat Springs
36401,AIAN,25,1538,Steamboat Springs
36401,White,25,3849.530769230769,Steamboat Springs
36401,White,75,5474.471074380165,Steamboat Springs
36401,Pooled,25,3839.741324921136,Steamboat Springs
36401,AIAN,-9,3087,Steamboat Springs
36401,Asian,50,5724,Steamboat Springs
36401,Pooled,75,5457.729128014842,Steamboat Springs
36401,Hispanic,75,4780.387096774193,Steamboat Springs
36401,Hispanic,50,4324.132942326491,Steamboat Springs
36401,Hispanic,25,3867.878787878788,Steamboat Springs
36401,AIAN,50,3087,Steamboat Springs
36401,AIAN,75,4636,Steamboat Springs
36401,Pooled,50,4648.735226467988,Steamboat Springs
36401,Pooled,-9,4858.544392523365,Steamboat Springs
36401,White,-9,4906.615591397849,Steamboat Springs
36401,Asian,-9,5724,Steamboat Springs
36401,White,50,4662.000921805467,Steamboat Springs
36401,Hispanic,-9,4309.875,Steamboat Springs
36401,Asian,75,6674.5,Steamboat Springs
36402,Asian,-9,5382.5,Vernal
36402,Pooled,50,4627.043006676406,Vernal
36402,Black,25,3497,Vernal
36402,Black,75,4229,Vernal
36402,White,25,3923.796812749004,Vernal
36402,Hispanic,25,3065,Vernal
36402,Asian,75,5392,Vernal
36402,Pooled,25,3800.768141592921,Vernal
36402,Pooled,75,5453.317871759891,Vernal
36402,Hispanic,50,3686.166666666667,Vernal
36402,Black,50,3863,Vernal
36402,Black,-9,3863,Vernal
36402,Pooled,-9,4733.987673343606,Vernal
36402,White,75,5575.477744807122,Vernal
36402,Hispanic,-9,3686.166666666667,Vernal
36402,AIAN,-9,2196.047619047619,Vernal
36402,Asian,25,5373,Vernal
36402,AIAN,75,3108.736842105263,Vernal
36402,White,-9,4870.423469387755,Vernal
36402,White,50,4749.637278778063,Vernal
36402,AIAN,25,1442.086956521739,Vernal
36402,Hispanic,75,4307.333333333333,Vernal
36402,Asian,50,5382.5,Vernal
36402,AIAN,50,2275.411899313501,Vernal
36403,Pooled,75,4828.944444444445,Soda Springs
36403,Hispanic,25,4538.5,Soda Springs
36403,Pooled,50,4679.673253150057,Soda Springs
36403,White,75,4891.529411764706,Soda Springs
36403,Pooled,-9,4708.784232365145,Soda Springs
36403,Hispanic,50,4151.75,Soda Springs
36403,White,50,4710.601784534038,Soda Springs
36403,Hispanic,75,3765,Soda Springs
36403,White,25,4529.674157303371,Soda Springs
36403,White,-9,4748.395555555556,Soda Springs
36403,Hispanic,-9,4151.75,Soda Springs
36403,Pooled,25,4530.40206185567,Soda Springs
36404,Black,-9,4120.5,Rock Springs
36404,AIAN,75,4240.5,Rock Springs
36404,Pooled,75,5382.683054393306,Rock Springs
36404,White,75,5431.864678899083,Rock Springs
36404,White,-9,4998.980754426482,Rock Springs
36404,White,25,4114.964871194379,Rock Springs
36404,Hispanic,25,4155.627450980392,Rock Springs
36404,Pooled,25,4097.805220883534,Rock Springs
36404,Black,50,4120.5,Rock Springs
36404,Asian,75,8054,Rock Springs
36404,AIAN,25,2689.5,Rock Springs
36404,Asian,25,5982,Rock Springs
36404,Asian,-9,7018,Rock Springs
36404,Asian,50,7018,Rock Springs
36404,AIAN,50,3465,Rock Springs
36404,Pooled,-9,4942.607977991747,Rock Springs
36404,Black,25,3279.5,Rock Springs
36404,Hispanic,-9,4481.426086956521,Rock Springs
36404,AIAN,-9,3465,Rock Springs
36404,White,50,4773.414775046731,Rock Springs
36404,Hispanic,50,4448.337162990196,Rock Springs
36404,Pooled,50,4740.244137638419,Rock Springs
36404,Black,75,4961.5,Rock Springs
36404,Hispanic,75,4741.046875,Rock Springs
36501,White,25,4167.982384823848,Klamath Falls
36501,AIAN,75,3519.619047619048,Klamath Falls
36501,Hispanic,-9,4653.662162162163,Klamath Falls
36501,White,-9,4868.614156835531,Klamath Falls
36501,Black,-9,3573.666666666667,Klamath Falls
36501,White,50,4886.055203791725,Klamath Falls
36501,Black,75,4326.666666666667,Klamath Falls
36501,Hispanic,75,5783.277227722772,Klamath Falls
36501,Pooled,25,4072.665728756331,Klamath Falls
36501,White,75,5604.128022759602,Klamath Falls
36501,Black,25,2820.666666666667,Klamath Falls
