par_cz,kid_race,par_pctile,shrunk_xkid_vscore2020,cz_name
30902,White,50,690.625900360144,Littlefield
30902,Pooled,50,663.601008617313,Littlefield
30902,Hispanic,-9,622.6774590163933,Littlefield
30902,White,-9,690.1095,Littlefield
30902,Pooled,25,630.1954954954955,Littlefield
30902,Black,25,582.4714285714285,Littlefield
30902,Pooled,75,697.0065217391304,Littlefield
30903,White,-9,677.376582709326,Amarillo
30903,Pooled,50,665.5384426153385,Amarillo
30903,Black,25,577.97875,Amarillo
30903,Hispanic,25,620.4744431418522,Amarillo
30903,Pooled,-9,661.8843381843382,Amarillo
30903,Asian,25,697.8392156862745,Amarillo
30903,AIAN,75,680.1882352941177,Amarillo
30903,Hispanic,50,643.571432097242,Amarillo
30903,White,75,705.5211914365498,Amarillo
30903,Black,75,627.5142857142857,Amarillo
30903,Black,50,602.7465178571429,Amarillo
30903,Asian,75,712.5,Amarillo
30903,White,50,674.353132469123,Amarillo
30903,Pooled,75,699.2668393782384,Amarillo
30903,Asian,-9,704.2835164835165,Amarillo
30903,AIAN,50,645.7529411764706,Amarillo
30903,AIAN,-9,645.7529411764707,Amarillo
30903,Black,-9,588.2782178217822,Amarillo
30903,Hispanic,-9,630.2174838112859,Amarillo
30903,AIAN,25,611.3176470588236,Amarillo
30903,Asian,50,705.1696078431373,Amarillo
30903,White,25,643.1850735016961,Amarillo
30903,Pooled,25,631.8100458524385,Amarillo
30903,Hispanic,75,666.6684210526316,Amarillo
30904,White,-9,679.2303977272727,Pampa
30904,White,50,674.7160692018663,Pampa
30904,Black,-9,609.05,Pampa
30904,Asian,75,696.1,Pampa
30904,Black,50,609.05,Pampa
30904,Black,75,638.55,Pampa
30904,Hispanic,75,672.3084507042254,Pampa
30904,White,75,704.698024691358,Pampa
30904,Asian,25,677.9,Pampa
30904,Pooled,75,700.2699892818864,Pampa
30904,AIAN,25,638.3,Pampa
30904,White,25,644.7341137123746,Pampa
30904,Hispanic,50,649.6788732394366,Pampa
30904,Asian,-9,687,Pampa
30904,AIAN,75,681.5,Pampa
30904,Hispanic,25,627.0492957746479,Pampa
30904,Black,25,579.55,Pampa
30904,Pooled,50,669.8121093570498,Pampa
30904,Pooled,25,639.3542294322132,Pampa
30904,Hispanic,-9,638.3640845070422,Pampa
30904,Pooled,-9,670.9992204899777,Pampa
30904,AIAN,50,659.9,Pampa
30904,AIAN,-9,659.9,Pampa
30904,Asian,50,687,Pampa
30905,Pooled,50,670.073023715415,Wellington
30905,Hispanic,50,669.7466666666667,Wellington
30905,Hispanic,75,709.76,Wellington
30905,Pooled,-9,664.1469026548673,Wellington
30905,Hispanic,25,629.7333333333333,Wellington
30905,White,25,656.7510204081633,Wellington
30905,Pooled,25,643.2869565217392,Wellington
30905,Black,75,598.45,Wellington
30905,Pooled,75,696.8590909090909,Wellington
30905,White,-9,679.432,Wellington
30905,Black,-9,589.8,Wellington
30905,Hispanic,-9,666.1090909090909,Wellington
30905,White,50,689.4639717425432,Wellington
30905,White,75,722.1769230769231,Wellington
30905,Black,25,581.15,Wellington
30905,Black,50,589.8,Wellington
30906,White,75,707.1176470588235,Memphis
30906,White,-9,672.095,Memphis
30906,Pooled,50,650.9931538461539,Memphis
30906,Black,50,597.125,Memphis
30906,Hispanic,75,657.8571428571429,Memphis
30906,Hispanic,50,646.6627819548872,Memphis
30906,White,25,646.2086956521739,Memphis
30906,Black,25,578.5,Memphis
30906,Hispanic,25,635.4684210526316,Memphis
30906,Hispanic,-9,644.9666666666667,Memphis
30906,Pooled,75,670.6923076923077,Memphis
30906,Pooled,-9,648.5584269662921,Memphis
30906,Pooled,25,631.294,Memphis
30906,Black,75,615.75,Memphis
30906,White,50,676.6631713554987,Memphis
30906,Black,-9,597.125,Memphis
30907,Hispanic,25,627.7,Matador
30907,Hispanic,50,654.05,Matador
30907,White,-9,685.05,Matador
30907,Pooled,50,669.55,Matador
30907,Hispanic,75,680.4,Matador
30907,Pooled,25,646.65,Matador
30907,Pooled,-9,669.55,Matador
30907,Pooled,75,692.45,Matador
30907,White,75,704.5,Matador
30907,White,25,665.6,Matador
30907,Hispanic,-9,654.05,Matador
30907,White,50,685.05,Matador
30908,Black,25,572.1909090909091,Plainview
30908,Black,50,604.8954545454546,Plainview
30908,Hispanic,75,657.2877192982456,Plainview
30908,White,75,710.9021276595745,Plainview
30908,Pooled,25,616.5707119741101,Plainview
30908,Hispanic,25,605.2107142857143,Plainview
30908,Black,75,637.6,Plainview
30908,AIAN,25,612.7,Plainview
30908,White,-9,682.4477900552487,Plainview
30908,Asian,-9,704.1,Plainview
30908,Asian,25,693.6,Plainview
30908,Asian,50,704.1,Plainview
30908,AIAN,-9,651.2,Plainview
30908,Pooled,75,694.921189591078,Plainview
30908,Pooled,-9,640.3320180383314,Plainview
30908,White,50,681.30307532404,Plainview
30908,White,25,651.7040229885057,Plainview
30908,AIAN,75,689.7,Plainview
30908,Hispanic,-9,611.8218262806236,Plainview
30908,Black,-9,589.6333333333333,Plainview
30908,Asian,75,714.6,Plainview
30908,AIAN,50,651.2,Plainview
30908,Pooled,50,655.745950782594,Plainview
30908,Hispanic,50,631.24921679198,Plainview
31001,Pooled,-9,677.7743243243243,Garden City
31001,AIAN,75,733,Garden City
31001,White,25,657.1178217821782,Garden City
31001,Pooled,75,711.2053941908714,Garden City
31001,Pooled,50,681.1359015153253,Garden City
31001,Asian,25,720.3,Garden City
31001,Asian,75,728.2,Garden City
31001,Black,75,642.5,Garden City
31001,Hispanic,25,641.0065168539326,Garden City
31001,Pooled,25,651.066408839779,Garden City
31001,Black,-9,631.3,Garden City
31001,Asian,-9,723.1966666666667,Garden City
31001,White,75,718.6714285714286,Garden City
31001,Hispanic,-9,649.0915492957746,Garden City
31001,AIAN,25,614.9,Garden City
31001,Black,25,620.1,Garden City
31001,AIAN,-9,673.95,Garden City
31001,White,-9,692.8751037344398,Garden City
31001,White,50,687.8946251768034,Garden City
31001,Black,50,631.3,Garden City
31001,Hispanic,50,659.6743966383484,Garden City
31001,Hispanic,75,678.3422764227643,Garden City
31001,Asian,50,724.25,Garden City
31001,AIAN,50,673.95,Garden City
31002,Pooled,50,685.652485380117,Ulysses
31002,White,75,716.9688073394495,Ulysses
31002,Hispanic,25,634.6736842105263,Ulysses
31002,White,25,671.078947368421,Ulysses
31002,Hispanic,75,682.8176470588236,Ulysses
31002,Pooled,75,712.3611111111111,Ulysses
31002,Hispanic,50,658.7456656346749,Ulysses
