par_cz,kid_race,par_pctile,shrunk_xkid_delinq90_02020,cz_name
26406,AIAN,-9,.7204727272727274,Wolf Point
26406,Pooled,50,.4224895828822978,Wolf Point
26406,Pooled,25,.5449006711409395,Wolf Point
26406,AIAN,75,.6047,Wolf Point
26406,White,75,.2193173913043478,Wolf Point
26407,White,25,.2891,Plentywood
26407,Pooled,75,.2081,Plentywood
26407,Pooled,25,.2891,Plentywood
26407,Pooled,-9,.2615255319148936,Plentywood
26407,White,-9,.2615255319148936,Plentywood
26407,Pooled,50,.2486,Plentywood
26407,White,75,.2081,Plentywood
26407,White,50,.2486,Plentywood
26408,White,75,.2193168421052631,Glasgow
26408,Hispanic,25,.56525,Glasgow
26408,AIAN,-9,.58985,Glasgow
26408,Hispanic,75,.38585,Glasgow
26408,Pooled,75,.2752307086614173,Glasgow
26408,AIAN,25,.6830999999999999,Glasgow
26408,Pooled,50,.34366459097193,Glasgow
26408,White,-9,.2827134020618556,Glasgow
26408,Hispanic,50,.47555,Glasgow
26408,Hispanic,-9,.47555,Glasgow
26408,Pooled,25,.4120984732824427,Glasgow
26408,Pooled,-9,.3447255813953488,Glasgow
26408,White,25,.3435484848484848,Glasgow
26408,AIAN,50,.58985,Glasgow
26408,AIAN,75,.4966,Glasgow
26408,White,50,.281432663476874,Glasgow
26409,Hispanic,-9,.3165,Glendive
26409,White,75,.2013638554216867,Glendive
26409,Pooled,50,.2690374097834803,Glendive
26409,Pooled,-9,.2686531791907514,Glendive
26409,White,50,.2667294886864531,Glendive
26409,White,-9,.2663333333333333,Glendive
26409,Pooled,75,.2025655172413793,Glendive
26409,White,25,.3320951219512195,Glendive
26409,Hispanic,50,.3165,Glendive
26409,Hispanic,75,.2275,Glendive
26409,Hispanic,25,.4055000000000001,Glendive
26409,Pooled,25,.3355093023255814,Glendive
26410,Hispanic,75,.2912,Dickinson
26410,White,-9,.1976679334916865,Dickinson
26410,Asian,25,.3386,Dickinson
26410,Asian,75,.2455,Dickinson
26410,Hispanic,25,.4488,Dickinson
26410,Pooled,50,.2200576155717762,Dickinson
26410,White,75,.1533112311015119,Dickinson
26410,AIAN,25,.5757999999999999,Dickinson
26410,AIAN,-9,.56715,Dickinson
26410,Pooled,75,.1701266666666667,Dickinson
26410,Asian,50,.29205,Dickinson
26410,Hispanic,50,.37,Dickinson
26410,Pooled,-9,.2154282560706402,Dickinson
26410,AIAN,75,.5585000000000001,Dickinson
26410,Asian,-9,.29205,Dickinson
26410,White,50,.2025834519623654,Dickinson
26410,AIAN,50,.56715,Dickinson
26410,White,25,.251855672823219,Dickinson
26410,Hispanic,-9,.37,Dickinson
26410,Pooled,25,.2699885644768856,Dickinson
26411,White,25,.3220260869565217,Sidney
26411,Hispanic,-9,.3950333333333333,Sidney
26411,Pooled,-9,.2861086642599278,Sidney
26411,AIAN,50,.5635666666666667,Sidney
26411,AIAN,75,.5019666666666667,Sidney
26411,Hispanic,50,.3950333333333333,Sidney
26411,White,75,.1685324561403509,Sidney
26411,Pooled,25,.3599093525179856,Sidney
26411,White,50,.2452792715484363,Sidney
26411,Hispanic,25,.4577,Sidney
26411,AIAN,-9,.5635666666666667,Sidney
26411,AIAN,25,.6251666666666666,Sidney
26411,Pooled,75,.2117731884057971,Sidney
26411,White,-9,.2456144104803493,Sidney
26411,Hispanic,75,.3323666666666666,Sidney
26411,Pooled,50,.2858412704618913,Sidney
26412,Pooled,-9,.2560568181818181,Williston
26412,White,50,.2563235140881646,Williston
26412,White,-9,.2438910364145658,Williston
26412,Hispanic,-9,.4888,Williston
26412,Pooled,25,.339146925566343,Williston
26412,AIAN,50,.5317499999999999,Williston
26412,Hispanic,75,.4445,Williston
26412,Pooled,50,.2683594536715542,Williston
26412,AIAN,-9,.5317500000000001,Williston
26412,Pooled,75,.1975719817767654,Williston
26412,Hispanic,25,.5331,Williston
26412,White,75,.1880405213270142,Williston
26412,Hispanic,50,.4888,Williston
