par_cz,kid_race,par_pctile,shrunk_income_resid_2020,cz_name
21002,Pooled,25,-.0335691964285714,Houghton
21002,Hispanic,75,-.1429,Houghton
21002,Pooled,50,-.090888181253155,Houghton
21002,Pooled,75,-.1482071660777385,Houghton
21002,Black,50,.119725,Houghton
21002,Hispanic,50,-.11756,Houghton
21002,Asian,50,-.13505,Houghton
21002,AIAN,75,-.070166,Houghton
21002,Black,-9,.119725,Houghton
21002,AIAN,-9,.057292,Houghton
21002,Black,25,.1432,Houghton
21002,White,-9,-.1056011134903641,Houghton
21002,Asian,25,-.1182,Houghton
21002,White,75,-.1543235741444867,Houghton
21002,Asian,-9,-.13505,Houghton
21002,White,25,-.0427873529411765,Houghton
21003,AIAN,25,.1222566666666667,Ironwood
21003,White,50,-.075795795778925,Ironwood
21003,White,25,-.0243233483146067,Ironwood
21003,Pooled,25,-.0120375051546392,Ironwood
21003,AIAN,-9,.1411983333333333,Ironwood
21003,Hispanic,75,-.06833,Ironwood
21003,White,75,-.1272682432432432,Ironwood
21003,AIAN,75,.16014,Ironwood
21003,AIAN,50,.1411983333333333,Ironwood
21003,White,-9,-.0710590674846626,Ironwood
21003,Pooled,75,-.1048008536585366,Ironwood
21003,Hispanic,50,.031735,Ironwood
21003,Pooled,-9,-.0545324469273743,Ironwood
21003,Hispanic,25,.1318,Ironwood
21003,Hispanic,-9,.031735,Ironwood
21003,Pooled,50,-.0584191794065879,Ironwood
21004,White,75,-.1429988700564972,Rhinelander
21004,Hispanic,25,.0978266666666667,Rhinelander
21004,Pooled,50,-.0837494803634452,Rhinelander
21004,White,25,-.0655424920127796,Rhinelander
21004,Hispanic,75,-.0150633333333333,Rhinelander
21004,Pooled,25,-.0476028985507246,Rhinelander
21004,AIAN,75,.2848666666666667,Rhinelander
21004,Asian,25,-.04355,Rhinelander
21004,Black,-9,.33125,Rhinelander
21004,Pooled,-9,-.085776853625171,Rhinelander
21004,White,-9,-.1066512743628186,Rhinelander
21004,Hispanic,-9,.0413816666666667,Rhinelander
21004,Black,50,.33125,Rhinelander
21004,Asian,50,-.040515,Rhinelander
21004,AIAN,25,.14134,Rhinelander
21004,AIAN,-9,.2131033333333333,Rhinelander
21004,Black,75,.3135,Rhinelander
21004,Pooled,75,-.1198960621761658,Rhinelander
21004,Asian,75,-.03748,Rhinelander
21004,Black,25,.349,Rhinelander
21004,Hispanic,50,.0413816666666667,Rhinelander
21004,Asian,-9,-.040515,Rhinelander
21004,White,50,-.1042706810346384,Rhinelander
21004,AIAN,50,.2131033333333333,Rhinelander
21101,Black,75,.043235,Rice Lake
21101,Asian,75,-.029075,Rice Lake
21101,AIAN,25,.10665325,Rice Lake
21101,Asian,25,-.07551,Rice Lake
21101,AIAN,75,.01957404,Rice Lake
21101,White,25,-.0635232857142857,Rice Lake
21101,Asian,-9,-.0522925,Rice Lake
21101,Black,-9,.10734,Rice Lake
21101,AIAN,-9,.0742119756862745,Rice Lake
21101,White,75,-.1389943548387097,Rice Lake
21101,Asian,50,-.0522925,Rice Lake
21101,Black,25,.171445,Rice Lake
21101,Hispanic,50,.0213561212121212,Rice Lake
21101,Hispanic,-9,.0213561212121212,Rice Lake
21101,Pooled,50,-.0871076733889468,Rice Lake
21101,Black,50,.10734,Rice Lake
