par_cz,kid_race,par_pctile,shrunk_xkid_auabalance2020,cz_name
700,Pooled,25,5865.199467441297,Spartanburg
700,Black,75,6733.62962962963,Spartanburg
700,AIAN,25,5026,Spartanburg
700,Hispanic,75,8474.846153846154,Spartanburg
700,Pooled,75,7876.304170312044,Spartanburg
700,White,50,7169.295746971737,Spartanburg
700,AIAN,-9,7252.5,Spartanburg
700,Asian,50,7622.431182795699,Spartanburg
700,Asian,-9,7622.540983606557,Spartanburg
700,Hispanic,-9,7495.157303370786,Spartanburg
700,White,25,6349.86,Spartanburg
700,AIAN,75,9479,Spartanburg
700,AIAN,50,7252.5,Spartanburg
700,Black,-9,5214.276523702031,Spartanburg
700,Pooled,-9,6777.3791005291,Spartanburg
700,Hispanic,50,7703.232811436352,Spartanburg
700,Asian,25,7629.129032258064,Spartanburg
700,Black,50,5803.970201555147,Spartanburg
800,Black,50,7700.444256003961,Gastonia
800,Asian,75,7821.2,Gastonia
800,AIAN,-9,8625.5,Gastonia
800,White,-9,8515.42060085837,Gastonia
800,Asian,25,7749.847457627118,Gastonia
800,Pooled,50,8316.389421133919,Gastonia
800,Hispanic,75,7624.203389830508,Gastonia
800,Pooled,25,7172.332201951634,Gastonia
800,Pooled,-9,8229.429582287148,Gastonia
800,Pooled,75,9460.446640316206,Gastonia
800,White,25,7382.077611940298,Gastonia
800,White,75,9558.469780219781,Gastonia
800,Hispanic,25,6542.40157480315,Gastonia
800,AIAN,25,7389.666666666667,Gastonia
800,Asian,-9,7780.721153846154,Gastonia
800,Hispanic,50,7083.302482316829,Gastonia
800,Asian,50,7785.52372881356,Gastonia
800,Black,25,6598.73136915078,Gastonia
800,Black,-9,7028.967921896792,Gastonia
800,AIAN,50,8625.5,Gastonia
800,AIAN,75,9861.333333333334,Gastonia
800,Black,75,8802.157142857142,Gastonia
800,White,50,8470.273696080039,Gastonia
800,Hispanic,-9,6885.55376344086,Gastonia
900,Pooled,50,7814.795843185876,Charlotte
900,Black,-9,6497.69650872818,Charlotte
900,Asian,75,8175.925414364641,Charlotte
900,AIAN,50,7375.465993856955,Charlotte
900,White,25,7449.507078507078,Charlotte
900,Black,50,6991.214301006288,Charlotte
900,Asian,25,8239.282499999999,Charlotte
900,Pooled,75,8699.78763986318,Charlotte
900,Black,25,6130.027901077996,Charlotte
900,Hispanic,-9,7892.344621513944,Charlotte
900,Asian,50,8207.60395718232,Charlotte
900,White,75,8828.406682966584,Charlotte
900,Black,75,7852.40070093458,Charlotte
900,White,-9,8352.099671023385,Charlotte
900,AIAN,25,6174.792452830188,Charlotte
900,Hispanic,50,7922.846755418355,Charlotte
900,Asian,-9,8209.18372703412,Charlotte
900,Pooled,-9,7870.012441488051,Charlotte
900,Hispanic,25,7811.079812206573,Charlotte
900,Hispanic,75,8034.613698630137,Charlotte
900,AIAN,75,8576.139534883721,Charlotte
900,Pooled,25,6929.804046508572,Charlotte
900,AIAN,-9,7250.395833333333,Charlotte
900,White,50,8138.956880736831,Charlotte
1001,Asian,75,4735,Boone
1001,Black,-9,5877.5,Boone
1001,Black,50,5877.5,Boone
1001,Pooled,25,8149.927586206896,Boone
1001,Asian,-9,4728,Boone
1001,White,25,8076.236842105263,Boone
1001,Black,75,5470.5,Boone
1001,Pooled,75,9530.51282051282,Boone
1001,Hispanic,25,12170,Boone
1001,Hispanic,50,13237.5,Boone
1001,White,75,9497.578947368422,Boone
1001,Black,25,6284.5,Boone
1001,Pooled,50,8840.220203359859,Boone
1001,Pooled,-9,8705.00824742268,Boone
1001,White,-9,8632.41418764302,Boone
1001,Hispanic,-9,13237.5,Boone
1001,Hispanic,75,14305,Boone
1001,White,50,8786.907894736843,Boone
1001,Asian,25,4721,Boone
1001,Asian,50,4728,Boone
1002,AIAN,25,6472,Morganton
1002,Pooled,-9,8758.091256072172,Morganton
1002,AIAN,-9,8281,Morganton
1002,Black,25,6999.587155963302,Morganton
1002,Hispanic,50,8591.152623211447,Morganton
1002,Pooled,50,8934.017245608436,Morganton
1002,Black,-9,7455.5,Morganton
1002,Pooled,75,10113.13050570963,Morganton
1002,White,75,10234.35018050541,Morganton
1002,White,25,7768.959154929577,Morganton
1002,Hispanic,75,9482.54054054054,Morganton
1002,Asian,50,8625.483660130718,Morganton
1002,White,-9,8849.518196202531,Morganton
1002,Hispanic,-9,8449.34090909091,Morganton
1002,White,50,9001.654667717496,Morganton
1002,Asian,75,8386.555555555555,Morganton
1002,Hispanic,25,7699.764705882353,Morganton
1002,AIAN,75,10090,Morganton
1002,Asian,-9,8699,Morganton
1002,AIAN,50,8281,Morganton
1002,Black,50,7899.090875278949,Morganton
1002,Asian,25,8864.411764705883,Morganton
1002,Pooled,25,7754.903985507246,Morganton
1002,Black,75,8798.594594594595,Morganton
1100,Pooled,-9,7966.465476190476,Hickory
1100,Black,75,7051.171597633136,Hickory
1100,Asian,25,8198.285714285714,Hickory
1100,White,75,9179.182890855458,Hickory
1100,Asian,50,8183.892857142857,Hickory
1100,Hispanic,-9,7685.174528301887,Hickory
1100,Pooled,50,7987.606947498985,Hickory
1100,Hispanic,75,8646.966101694916,Hickory
1100,Pooled,25,6907.677737415672,Hickory
1100,AIAN,50,9331,Hickory
1100,Asian,75,8169.5,Hickory
1100,Pooled,75,9067.536157582299,Hickory
1100,White,-9,8211.050912584054,Hickory
1100,Asian,-9,8188.58947368421,Hickory
1100,AIAN,-9,9331,Hickory
1100,Black,25,5921.769784172662,Hickory
1100,Hispanic,25,7314.287581699346,Hickory
1100,AIAN,75,10924.66666666667,Hickory
1100,Hispanic,50,7980.626841697131,Hickory
1100,Black,50,6486.470690902899,Hickory
1100,Black,-9,6142.68287037037,Hickory
1100,White,50,8120.542775959942,Hickory
1100,White,25,7061.902661064426,Hickory
1100,AIAN,25,7737.333333333333,Hickory
1201,Pooled,25,8854.35960591133,Franklin
1201,AIAN,-9,4617,Franklin
1201,AIAN,25,4315,Franklin
1201,White,-9,10014.57094594595,Franklin
1201,Black,-9,9781.5,Franklin
1201,White,75,11351.53846153846,Franklin
1201,White,50,10246.11280618822,Franklin
1201,Pooled,-9,9686.409883720929,Franklin
1201,Pooled,50,9869.34292352304,Franklin
1201,Hispanic,25,6416.5,Franklin
1201,Asian,25,6161,Franklin
1201,Black,50,9781.5,Franklin
1201,Asian,50,6141,Franklin
1201,Asian,-9,6141,Franklin
1201,White,25,9140.687150837988,Franklin
