par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
25105,Hispanic,75,69467.2,Batesville
25105,Pooled,50,60059.27283040772,Batesville
25105,Hispanic,25,39175.6,Batesville
25105,Pooled,25,38357.47695852535,Batesville
25105,AIAN,-9,60732.5,Batesville
25105,Asian,50,58815,Batesville
25105,White,-9,54934.3720190779,Batesville
25105,Pooled,75,81761.06870229008,Batesville
25105,Hispanic,-9,54321.4,Batesville
25105,Asian,75,58620,Batesville
25105,Asian,25,59010,Batesville
25105,AIAN,25,26520,Batesville
25105,Pooled,-9,54696.18534482759,Batesville
25105,Black,50,40707.64705882352,Batesville
25105,Asian,-9,58815,Batesville
25105,Hispanic,50,54321.39999999999,Batesville
25200,White,75,77461.36939010357,Henderson
25200,Asian,-9,119355,Henderson
25200,Pooled,75,76151.65869218501,Henderson
25200,Asian,25,97610,Henderson
25200,Hispanic,75,70715,Henderson
25200,Black,-9,27346.5503875969,Henderson
25200,Asian,75,141100,Henderson
25200,White,25,34207.99256505576,Henderson
25200,Hispanic,25,29610,Henderson
25200,White,50,55834.68097757967,Henderson
25200,Black,25,22871.06145251397,Henderson
25200,White,-9,56634.71360381861,Henderson
25200,Pooled,25,33542.62789445342,Henderson
25200,Black,75,37487.21518987342,Henderson
25200,Black,50,30179.13832119369,Henderson
25200,Asian,50,119355,Henderson
25200,Pooled,-9,54983.92990904227,Henderson
25200,Hispanic,-9,50162.5,Henderson
25200,Hispanic,50,50162.5,Henderson
25200,Pooled,50,54847.14329331921,Henderson
25300,Black,25,17909.27272727273,Union City
25300,Hispanic,75,73691.21212121213,Union City
25300,White,-9,59962.62719703978,Union City
25300,Asian,75,108780,Union City
25300,Hispanic,25,32651.14285714286,Union City
25300,Pooled,75,80715.4025974026,Union City
25300,Asian,25,82720,Union City
25300,Pooled,50,58704.05436424041,Union City
25300,White,50,61145.51141552511,Union City
25300,White,75,82818.35616438356,Union City
25300,Hispanic,-9,52567.64705882353,Union City
25300,Pooled,-9,56446.48018648018,Union City
25300,Asian,-9,95750,Union City
25300,Pooled,25,36692.70613107822,Union City
25300,Hispanic,50,53171.17748917749,Union City
25300,Asian,50,95750,Union City
25300,Black,50,32266.47846889952,Union City
25300,White,25,39472.66666666666,Union City
25300,Black,75,46623.68421052631,Union City
25300,Black,-9,25281.89189189189,Union City
25401,Hispanic,50,48494,Paducah
25401,White,75,86939.4064516129,Paducah
25401,AIAN,75,75730,Paducah
25401,Black,25,22158.65168539326,Paducah
25401,Pooled,25,38579.46013810421,Paducah
25401,Pooled,75,85284.06900654372,Paducah
25401,White,-9,65285.84076870282,Paducah
25401,Hispanic,25,32184.57142857143,Paducah
25401,Asian,-9,89545,Paducah
25401,Hispanic,75,64803.42857142857,Paducah
25401,Black,75,61718,Paducah
25401,Hispanic,-9,48494,Paducah
25401,Asian,75,99380,Paducah
25401,Pooled,50,61931.76457232397,Paducah
25401,Black,-9,34425.11627906977,Paducah
25401,AIAN,-9,54230,Paducah
25401,Pooled,-9,62559.43799633476,Paducah
25401,White,50,63809.46129032258,Paducah
25401,AIAN,25,32730,Paducah
25401,AIAN,50,54230,Paducah
25401,Asian,50,89545,Paducah
25401,Black,50,41938.32584269663,Paducah
25401,White,25,40679.51612903226,Paducah
25401,Asian,25,79710,Paducah
25402,Asian,-9,205000,Murray
25402,Pooled,25,45034.71080139372,Murray
25402,Asian,75,192300,Murray
25402,Black,25,8758,Murray
25402,Hispanic,75,114500,Murray
25402,Black,-9,33514,Murray
25402,Pooled,75,90402.13559322034,Murray
25402,Pooled,50,67718.42319730704,Murray
25402,White,50,64435,Murray
25402,White,-9,64785.45112781955,Murray
25402,Black,50,33514,Murray
25402,Asian,50,205000,Murray
25402,Asian,25,217700,Murray
25402,Hispanic,25,41060,Murray
25402,White,75,87740,Murray
